,val_loss,val_main_loss,val_aux1_loss,val_aux2_loss,val_main_accuracy,val_aux1_accuracy,val_aux2_accuracy,loss,main_loss,aux1_loss,aux2_loss,main_accuracy,aux1_accuracy,aux2_accuracy,lr
21,3.5987354080200196,1.8198919296264648,0.9993821978569031,1.2029451131820679,0.65420001745224,0.6473000049591064,0.6608999967575073,1.4698644969940187,0.09014351665973663,0.7198857665061951,0.25922152400016785,0.9696599841117859,0.7432000041007996,0.9154999852180481,0.0010000000474974513
22,3.6830991371154784,1.903131127357483,1.0004298686981201,1.2365481853485107,0.6506999731063843,0.651199996471405,0.6564000248908997,1.439593754043579,0.07657836377620697,0.6919517517089844,0.23491746187210083,0.9742000102996826,0.7531399726867676,0.9231600165367126,0.0010000000474974513
23,3.7204512252807618,1.9401404857635498,1.0015980005264282,1.2692914009094238,0.6521000266075134,0.6520000100135803,0.6579999923706055,1.3955308794784547,0.056489281356334686,0.6570708751678467,0.19307157397270203,0.9811400175094604,0.7680400013923645,0.9400799870491028,0.0010000000474974513
24,3.7698564659118654,1.9770034551620483,0.9984890222549438,1.2965986728668213,0.650600016117096,0.6516000032424927,0.6570000052452087,1.3709450500106812,0.048070166260004044,0.6306989192962646,0.1695673018693924,0.984220027923584,0.778219997882843,0.9465000033378601,0.0010000000474974513
25,3.853681483459473,2.047255039215088,1.0037543773651123,1.3449143171310425,0.6539000272750854,0.657800018787384,0.6585999727249146,1.3437896552276611,0.037991903722286224,0.60230553150177,0.14355172216892242,0.9879599809646606,0.7884799838066101,0.9570599794387817,0.0010000000474974513
26,3.9050845958709717,2.0864381790161133,1.0022419691085815,1.376080870628357,0.6620000004768372,0.6589000225067139,0.6625000238418579,1.3199053160858154,0.031512655317783356,0.5714908242225647,0.12398061156272888,0.9900400042533875,0.8017600178718567,0.9633200168609619,0.0010000000474974513
27,3.981524547958374,2.1491971015930176,1.017878770828247,1.430177927017212,0.6552000045776367,0.6549000144004822,0.6583999991416931,1.322473708229065,0.03820154443383217,0.5599173307418823,0.12470171600580215,0.9870799779891968,0.8040400147438049,0.9613800048828125,0.0010000000474974513
28,3.9949099842071534,2.159883975982666,1.0297781229019165,1.4386911392211914,0.6498000025749207,0.6528000235557556,0.6520000100135803,1.3151795164489746,0.038898956030607224,0.5400120615959167,0.12209298461675644,0.9867799878120422,0.8131600022315979,0.9628400206565857,0.0010000000474974513
29,3.9126888031005858,2.085939884185791,1.009829044342041,1.3922474384307861,0.6608999967575073,0.661300003528595,0.6675999760627747,1.3119512450027466,0.04148805886507034,0.5272935628890991,0.11912032216787338,0.9853600263595581,0.8168200254440308,0.9628999829292297,0.0010000000474974513
30,4.018368119812012,2.1627824306488037,1.0305962562561035,1.4424351453781128,0.6625000238418579,0.6629999876022339,0.6603999733924866,1.2962155084609985,0.03812352940440178,0.5007253289222717,0.10716631263494492,0.9869199991226196,0.8268600106239319,0.9660000205039978,0.0010000000474974513
31,3.9865069179534913,2.1507506370544434,1.0279030799865723,1.454837441444397,0.6590999960899353,0.6601999998092651,0.660099983215332,1.2906565972137451,0.03918580710887909,0.4865267872810364,0.10327333211898804,0.9873800277709961,0.8313000202178955,0.9674800038337708,0.0010000000474974513
32,4.100378820800781,2.236189603805542,1.0349904298782349,1.51703941822052,0.6534000039100647,0.6590999960899353,0.6556000113487244,1.2830812609100342,0.04050138592720032,0.46634092926979065,0.09932811558246613,0.986519992351532,0.8379200100898743,0.9694200158119202,0.0010000000474974513
33,4.027943284225464,2.1792821884155273,1.0291695594787598,1.4847018718719482,0.6636000275611877,0.6662999987602234,0.6662999987602234,1.267944679260254,0.03317646682262421,0.45202183723449707,0.08948881924152374,0.9884200096130371,0.8441200256347656,0.9716200232505798,0.0010000000474974513
34,4.0369909034729,2.174147129058838,1.0299192667007446,1.494064450263977,0.6751000285148621,0.6669999957084656,0.6754999756813049,1.2382104609680176,0.020681636407971382,0.41706329584121704,0.0686885342001915,0.9935200214385986,0.8572400212287903,0.9800599813461304,0.0010000000474974513
35,4.0609945304870605,2.1995980739593506,1.04559326171875,1.5163812637329102,0.6725999712944031,0.6687999963760376,0.6718000173568726,1.2086747868347167,0.011653431691229343,0.3762219548225403,0.045780640095472336,0.99617999792099,0.8733999729156494,0.9886400103569031,0.0010000000474974513
36,4.086944326782227,2.2123007774353027,1.055853009223938,1.5305029153823853,0.6718999743461609,0.6665999889373779,0.6725999712944031,1.1926879636383056,0.008598385378718376,0.3457243740558624,0.03776649013161659,0.9975200295448303,0.8860200047492981,0.9916399717330933,0.0010000000474974513
37,4.218507078170776,2.322253465652466,1.0875627994537354,1.6119139194488525,0.6693999767303467,0.6653000116348267,0.6682000160217285,1.183055431137085,0.0077415285632014275,0.3258220851421356,0.03324619680643082,0.9979000091552734,0.8921599984169006,0.9926400184631348,0.0010000000474974513
38,4.1974183925628665,2.3074920177459717,1.0865575075149536,1.6113736629486084,0.6721000075340271,0.6707000136375427,0.6754999756813049,1.1742647554397583,0.006989370100200176,0.30475735664367676,0.030888447538018227,0.9980400204658508,0.9003000259399414,0.9930199980735779,0.0010000000474974513
39,4.191132211303711,2.304856300354004,1.0884274244308472,1.5961490869522095,0.6764000058174133,0.6751999855041504,0.6775000095367432,1.1596322857284547,0.004228488076478243,0.27536070346832275,0.024411382153630257,0.999019980430603,0.9127399921417236,0.9948999881744385,0.0010000000474974513
40,4.210238558959961,2.3022613525390625,1.1011550426483154,1.6181821823120117,0.6776999831199646,0.673799991607666,0.673799991607666,1.1489116730880737,0.0037273180205374956,0.2523069977760315,0.0199162345379591,0.9992200136184692,0.9217000007629395,0.9964799880981445,0.0010000000474974513
41,4.274429232025146,2.3485188484191895,1.1283626556396484,1.649667501449585,0.6772000193595886,0.6732000112533569,0.6736999750137329,1.145886586036682,0.0036490382626652718,0.24346859753131866,0.02068408578634262,0.999019980430603,0.9249600172042847,0.995639979839325,0.0010000000474974513
42,4.311014334487915,2.355379581451416,1.1443822383880615,1.6632992029190063,0.6712999939918518,0.6680999994277954,0.6712999939918518,1.1360871710205078,0.003022640012204647,0.2209632396697998,0.016862038522958755,0.9991400241851807,0.9335600137710571,0.9969199895858765,0.0010000000474974513
