,val_loss,val_accuracy,loss,accuracy,lr
0,1.8379353870391846,0.4952999949455261,1.5761524597370866,0.5026033520698547,0.004999999888241291
1,1.3498233976364136,0.6305999755859375,1.146208641659713,0.6720802783966064,0.0049749999307096004
2,1.2470744134902954,0.6534000039100647,0.9696644968575524,0.735901951789856,0.00494999997317791
3,1.016515209007263,0.7264999747276306,0.8681484933313518,0.7712271809577942,0.004925000015646219
4,0.9029999941825867,0.7620999813079834,0.7982799634265808,0.7962391972541809,0.004900000058114529
5,0.9873493476867676,0.7472000122070312,0.7455451818507133,0.8130807280540466,0.004875000100582838
6,0.8730923750877381,0.7746999859809875,0.7020900949706866,0.827899694442749,0.0048500001430511475
7,0.8020699352264404,0.8022000193595886,0.6658562238458562,0.8404357433319092,0.004825000185519457
8,0.7752388668060303,0.8108000159263611,0.6348740007968257,0.8501682281494141,0.004800000227987766
9,0.8135813276290893,0.8040000200271606,0.6101819178264365,0.8568968176841736,0.004774999804794788
10,1.1382242447853088,0.7318000197410583,0.5780958858906784,0.8698734641075134,0.004749999847263098
11,0.9743233956336975,0.7734000086784363,0.5647996995014397,0.8744593262672424,0.004724999889731407
12,0.7836656682968139,0.8126000165939331,0.5366450680520664,0.882870078086853,0.004699999932199717
13,1.1565132068634034,0.7390999794006348,0.5165989878314384,0.8896988034248352,0.004674999974668026
14,0.6731324919700623,0.8416000008583069,0.5007172539729944,0.8956865072250366,0.004650000017136335
15,0.6919240904808044,0.8367999792098999,0.4885368518285437,0.8983899354934692,0.004625000059604645
16,0.7254102729797364,0.8379999995231628,0.47659272652564616,0.9020946621894836,0.004600000102072954
17,0.773955295753479,0.8277999758720398,0.46388750349776325,0.9064803123474121,0.004575000144541264
18,0.8640831870079041,0.8040000200271606,0.4491628741308956,0.9101449847221375,0.004550000187009573
19,0.7411541568756104,0.8295999765396118,0.4359420612239563,0.9147709012031555,0.004525000229477882
20,0.7431937203407287,0.8263999819755554,0.4253704785746819,0.917995035648346,0.0044999998062849045
21,0.6593052661895752,0.853600025177002,0.4148776192613154,0.9209187626838684,0.004474999848753214
22,0.8004923993110656,0.8241000175476074,0.40308146521052807,0.9253444671630859,0.004449999891221523
23,0.7231483032226562,0.8468000292778015,0.39551186703864066,0.9269465208053589,0.004424999933689833
24,0.8808638052940369,0.8064000010490417,0.3824104562005489,0.9308915138244629,0.004399999976158142
25,0.7156625371456147,0.8375999927520752,0.37873962892052915,0.9311318397521973,0.0043750000186264515
26,0.7171650952339172,0.8447999954223633,0.3744670885451823,0.9337952733039856,0.004350000061094761
27,0.6791515508651733,0.8557999730110168,0.35952697345286905,0.938020646572113,0.00432500010356307
28,0.8827619354248046,0.8155999779701233,0.3535449802016112,0.9413048624992371,0.00430000014603138
29,0.7614470415115356,0.8375999927520752,0.3432021594001755,0.9433819055557251,0.004275000188499689
30,0.6952252149581909,0.8549000024795532,0.3374864816034811,0.9466204047203064,0.0042500002309679985
31,0.8089236345291138,0.8309999704360962,0.3342285301871729,0.9460108876228333,0.004224999807775021
32,0.7598628169059753,0.8438000082969666,0.3256034687309455,0.9495554566383362,0.00419999985024333
33,0.6511829594612122,0.8619999885559082,0.32248848246978057,0.9515379667282104,0.004174999892711639
34,0.8294450511932373,0.8306000232696533,0.31392362797367235,0.9525192379951477,0.004149999935179949
